Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_284_97,VPWR,li1,52.9000,786.0800,1.800000
FILLER_284_85,VPWR,li1,47.3800,786.0800,1.800000
FILLER_284_83,VPWR,li1,43.9300,786.0800,1.800000
FILLER_284_77,VPWR,li1,42.3200,786.0800,1.800000
FILLER_284_65,VPWR,li1,38.1800,786.0800,1.800000
FILLER_284_53,VPWR,li1,32.6600,786.0800,1.800000
FILLER_284_41,VPWR,li1,27.1400,786.0800,1.800000
FILLER_284_29,VPWR,li1,21.6200,786.0800,1.800000
FILLER_284_27,VPWR,li1,18.1700,786.0800,1.800000
FILLER_284_15,VPWR,li1,15.1800,786.0800,1.800000
FILLER_284_3,VPWR,li1,9.6600,786.0800,1.800000
FILLER_283_1711,VPWR,li1,792.8100,780.6400,1.800000
FILLER_283_1705,VPWR,li1,791.2000,780.6400,1.800000
FILLER_283_1693,VPWR,li1,787.0600,780.6400,1.800000
FILLER_283_1681,VPWR,li1,781.5400,780.6400,1.800000
FILLER_283_1679,VPWR,li1,778.0900,780.6400,1.800000
FILLER_283_1673,VPWR,li1,776.4800,780.6400,1.800000
FILLER_283_1661,VPWR,li1,772.3400,780.6400,1.800000
FILLER_283_1649,VPWR,li1,766.8200,780.6400,1.800000
FILLER_283_1637,VPWR,li1,761.3000,780.6400,1.800000
FILLER_283_1625,VPWR,li1,755.7800,780.6400,1.800000
FILLER_283_1623,VPWR,li1,752.3300,780.6400,1.800000
FILLER_283_1617,VPWR,li1,750.7200,780.6400,1.800000
FILLER_283_1605,VPWR,li1,746.5800,780.6400,1.800000
FILLER_283_1593,VPWR,li1,741.0600,780.6400,1.800000
FILLER_283_1581,VPWR,li1,735.5400,780.6400,1.800000
FILLER_283_1569,VPWR,li1,730.0200,780.6400,1.800000
FILLER_283_1567,VPWR,li1,726.5700,780.6400,1.800000
FILLER_283_1561,VPWR,li1,724.9600,780.6400,1.800000
FILLER_283_1549,VPWR,li1,720.8200,780.6400,1.800000
FILLER_283_1537,VPWR,li1,715.3000,780.6400,1.800000
FILLER_283_1525,VPWR,li1,709.7800,780.6400,1.800000
FILLER_283_1513,VPWR,li1,704.2600,780.6400,1.800000
FILLER_283_1511,VPWR,li1,700.8100,780.6400,1.800000
FILLER_283_1505,VPWR,li1,699.2000,780.6400,1.800000
FILLER_283_1493,VPWR,li1,695.0600,780.6400,1.800000
FILLER_283_1481,VPWR,li1,689.5400,780.6400,1.799999
FILLER_283_1469,VPWR,li1,684.0200,780.6400,1.799999
FILLER_283_1457,VPWR,li1,678.5000,780.6400,1.799999
FILLER_283_1455,VPWR,li1,675.0500,780.6400,1.799999
FILLER_283_1449,VPWR,li1,673.4400,780.6400,1.799999
FILLER_283_1437,VPWR,li1,669.3000,780.6400,1.799999
FILLER_283_1425,VPWR,li1,663.7800,780.6400,1.799999
FILLER_283_1413,VPWR,li1,658.2600,780.6400,1.799999
FILLER_283_1401,VPWR,li1,652.7400,780.6400,1.799999
FILLER_283_1399,VPWR,li1,649.2900,780.6400,1.799999
FILLER_283_1393,VPWR,li1,647.6800,780.6400,1.799999
FILLER_283_1381,VPWR,li1,643.5400,780.6400,1.799999
FILLER_283_1369,VPWR,li1,638.0200,780.6400,1.799999
FILLER_283_1357,VPWR,li1,632.5000,780.6400,1.799999
FILLER_283_1345,VPWR,li1,626.9800,780.6400,1.799999
FILLER_283_1343,VPWR,li1,623.5300,780.6400,1.799998
FILLER_283_1337,VPWR,li1,621.9200,780.6400,1.799998
FILLER_283_1325,VPWR,li1,617.7800,780.6400,1.799998
FILLER_283_1313,VPWR,li1,612.2600,780.6400,1.799997
FILLER_283_1301,VPWR,li1,606.7400,780.6400,1.799997
FILLER_283_1289,VPWR,li1,601.2200,780.6400,1.799997
FILLER_283_1287,VPWR,li1,597.7700,780.6400,1.799996
FILLER_283_1281,VPWR,li1,596.1600,780.6400,1.799996
FILLER_283_1269,VPWR,li1,592.0200,780.6400,1.799996
FILLER_283_1257,VPWR,li1,586.5000,780.6400,1.799995
FILLER_283_1245,VPWR,li1,580.9800,780.6400,1.799995
FILLER_283_1233,VPWR,li1,575.4600,780.6400,1.799994
FILLER_283_1231,VPWR,li1,572.0100,780.6400,1.799994
FILLER_283_1225,VPWR,li1,570.4000,780.6400,1.799994
FILLER_283_1213,VPWR,li1,566.2600,780.6400,1.799994
FILLER_283_1201,VPWR,li1,560.7400,780.6400,1.799993
FILLER_283_1189,VPWR,li1,555.2200,780.6400,1.799993
FILLER_283_1177,VPWR,li1,549.7000,780.6400,1.799992
FILLER_283_1175,VPWR,li1,546.2500,780.6400,1.799992
FILLER_283_1169,VPWR,li1,544.6400,780.6400,1.799992
FILLER_283_1157,VPWR,li1,540.5000,780.6400,1.799992
FILLER_283_1145,VPWR,li1,534.9800,780.6400,1.799991
FILLER_283_1133,VPWR,li1,529.4600,780.6400,1.799991
FILLER_283_1121,VPWR,li1,523.9400,780.6400,1.799990
FILLER_283_1119,VPWR,li1,520.4900,780.6400,1.799990
FILLER_283_1113,VPWR,li1,518.8800,780.6400,1.799990
